House Number,ข้อมูลการใช้ไฟฟ้า,ข้อมูลการใช้น้ำบริโภค-แหล่งที่มา,ข้อมูลการใช้น้ำบริโภค,ข้อมูลการใช้น้ำอุปโภค-แหล่งที่มา,ข้อมูลการใช้น้ำอุปโภค,ลักษณะของบ้าน,จำนวนที่ดินทำกิน (ไร่)-เป็นเจ้าของ,จำนวนที่ดินทำกิน (ไร่)-เช่า
1,มีและมีหม้อมิเตอร์เอง,ซื้อ,มีดื่มตลอดปี,ประปา,มีใช้เป็นช่วงๆ(ฤดูฝนน้ำขุ่น),บ้านสองชั้น,13,
2,มีและมีหม้อมิเตอร์เอง,ซื้อ,มีดื่มตลอดปี,ประปา,มีใช้เป็นช่วงๆ(ฤดูฝนน้ำขุ่น),บ้านชั้นเดียวยกพื้น,5,
3,มีและมีหม้อมิเตอร์เอง,ซื้อ,,ประปา,มีใช้เป็นช่วงๆ(ฤดูร้อน),บ้านชั้นเดียวยกพื้น,19,
5,มีและมีหม้อมิเตอร์เอง,ซื้อ,มีดื่มตลอดปี,ประปา,มีใช้เป็นช่วงๆ(ฤดูแล้งไม่มีน้ำใช้และฤดูฝนน้ำขุ่น),บ้านชั้นเดียวติดพื้น,2(งาน),
6,มีและมีหม้อมิเตอร์เอง,บ่อน้ำ,มีดื่มตลอดปี,บ่อน้ำ,มีใช้ตลอดปี,บ้านชั้นเดียวยกพื้น,5,
7,มีและมีหม้อมิเตอร์เอง,ซื้อ,มีดื่มตลอดปี,ประปา,มีใช้เป็นช่วงๆ(หน้าฝนขุ่นและหน้าแล้งไม่พอใช้),บ้านชั้นเดียวติดพื้น,,
8,มีและมีหม้อมิเตอร์เอง,ซื้อ,มีดื่มตลอดปี,บ่อน้ำส่วนตัว,มีใช้ตลอดปี,บ้านชั้นเดียวยกพื้น,75,
10,มีและมีหม้อมิเตอร์เอง,ซื้อ,มีดื่มตลอดปี,ประปา,มีใช้ตลอดปี,บ้านสองชั้น,12,
11,มีและมีหม้อมิเตอร์เอง,ซื้อ,มีดื่มตลอดปี,ประปา,มีใช้ตลอดปี,บ้านสองชั้น,15,
12,มีและมีหม้อมิเตอร์เอง,ซิ้อ,มีดื่มตลอดปี,ประปา,มีใช้เป็นช่วงๆ ,บ้านชั้นเดียวติดพื้น,16,
13,มีและมีหม้อมิเตอร์เอง,ซื้อ,มีดื่มตลอดปี,ประปา,มีใช้เป็นช่วงๆ ,บ้านสองชั้น,30,
14,มีและมีหม้อมิเตอร์เอง,ซื้อ,มีดื่มตลอดปี,ประปา,มีใช้เป็นช่วงๆ(มีปัญหาบางครั้ง),บ้านสองชั้น,28,
15,มีและมีหม้อมิเตอร์เอง,ซื้อ,มีดื่มตลอดปี,"ประปา,ปั๊มจากท่อ",มีใช้ตลอดปี,บ้านสองชั้น,100,
16,มีและมีหม้อมิเตอร์เอง,ซื้อ,มีดื่มตลอดปี,ประปา,มีใช้ตลอดปี,บ้านสองชั้น,,
18,มีและมีหม้อมิเตอร์เอง,ซื้อ,มีดื่มตลอดปี,บ่อบาดาล,มีใช้ตลอดปี,บ้านชั้นเดียวติดพื้น,18,
19,มีและมีหม้อมิเตอร์เอง,ซื้อ,มีดื่มตลอดปี,ประปา,มีใช้เป็นช่วงๆ,บ้านชั้นเดียวติดพื้น,11,
20,มีและมีหม้อมิเตอร์เอง,โรงน้ำดื่มในหมู่บ้าน,มีดื่มตลอดปี,บ่อน้ำส่วนตัว,มีใช้ตลอดปี,บ้านสองชั้น,30,
